,Unnamed: 0,ResponseId,MainBranch,Employment,Country,US_State,UK_Country,EdLevel,Age1stCode,LearnCode,YearsCode,YearsCodePro,DevType,OrgSize,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSys,NEWStuck,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,NEWOtherComms,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,ConvertedCompYearly
3113,48367,48368,I am a student who is learning to code,"Student, full-time",Viet Nam,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School",2,,,,,,,C#;C++,C#;HTML/CSS;JavaScript;Kotlin;Node.js;Ruby;SQL,SQLite,Firebase;Microsoft SQL Server;MongoDB;MySQL,,,,,.NET Framework,Flutter;React Native,Git;Xamarin,Unreal Engine,Visual Studio;Visual Studio Code,Android Studio;Visual Studio;Visual Studio Code,Windows,Call a coworker or friend;Google it;Watch help / tutorial videos;Do other work and come back later;Panic,Stack Overflow,Less than once per month or monthly,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",No,Under 18 years old,Woman,No,Bisexual,Southeast Asian,None of the above,"I have a concentration and/or memory disorder (e.g. ADHD);I have a mood or emotional disorder (e.g. depression, bipolar disorder)",
3115,48385,48386,"I am not primarily a developer, but I write code sometimes as part of my work","Student, full-time",Australia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,School;Friend or family member,9,,,,,,,Bash/Shell;Python,Bash/Shell;Python,,,,,,,NumPy,NumPy,Git,Git,IPython/Jupyter;PyCharm;Vim;Visual Studio Code,IPython/Jupyter;Vim;Visual Studio Code,Linux-based,Visit Stack Overflow;Google it;Do other work and come back later;Play games;Panic,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,"No, not at all",No,18-24 years old,Woman,Yes,Gay or Lesbian,White or of European descent,None of the above,None of the above,
3116,48410,48411,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Jordan,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification",12,5,"Developer, mobile","Just me - I am a freelancer, sole proprietor, etc.",USD	United States dollar,,,Java;JavaScript;Swift;TypeScript,Java;JavaScript;Kotlin;PHP;Swift;TypeScript,Firebase;SQLite,Firebase;MySQL;SQLite,Google Cloud Platform,AWS;Google Cloud Platform,jQuery,jQuery;Laravel,React Native,React Native,Git,Git,Android Studio;Visual Studio Code,Android Studio;Visual Studio Code,MacOS,Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow,Multiple times per day,Yes,Multiple times per day,"Yes, definitely",No,25-34 years old,Woman,No,Prefer not to say,Middle Eastern,None of the above,Prefer not to say,
3117,48421,48422,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,India,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25 - 34 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification",Less than 1 year,Less than 1 year,Data or business analyst,10 to 19 employees,INR	Indian rupee,,Monthly,VBA,Python,,,,,,,,,,,Notepad++,IPython/Jupyter,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow,Daily or almost daily,Yes,A few times per week,Neutral,No,25-34 years old,Woman,No,Straight / Heterosexual,Prefer not to say,None of the above,None of the above,
3118,48451,48452,I am a developer by profession,Employed full-time,Greece,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",35 - 44 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification",4,3,"Developer, front-end",10 to 19 employees,EUR European Euro,800.0,Monthly,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;TypeScript,,,,,Vue.js,Angular;React.js;Vue.js,,,,,Visual Studio Code,Visual Studio Code,Linux-based,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow,Multiple times per day,Yes,Less than once per month or monthly,Neutral,No,35-44 years old,Woman,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,10380.0
3119,48455,48456,I am a developer by profession,Employed full-time,Israel,,,Some college/university study without earning a degree,18 - 24 years,School;Online Forum;Online Courses or Certification;Colleague,6,4,"Developer, front-end;Developer, full-stack;Developer, back-end","10,000 or more employees",ILS	Israeli new shekel,,,Bash/Shell;C#;HTML/CSS;JavaScript;PHP;SQL;TypeScript,Bash/Shell;C#;F#;Go;HTML/CSS;JavaScript;Python;Ruby;SQL;Swift;TypeScript,Microsoft SQL Server,DynamoDB;Microsoft SQL Server;MySQL;Oracle;SQLite,Microsoft Azure,AWS;Microsoft Azure,Angular;ASP.NET;ASP.NET Core ,Angular;ASP.NET;ASP.NET Core ;React.js;Vue.js,.NET Framework;.NET Core / .NET 5,.NET Framework;.NET Core / .NET 5;React Native,Git,Docker;Git,Notepad++;Visual Studio;Visual Studio Code,IPython/Jupyter;Notepad++;Visual Studio;Visual Studio Code,Windows,Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per month or weekly,"Yes, somewhat",No,18-24 years old,Woman,No,Straight / Heterosexual,White or of European descent;Middle Eastern,None of the above,None of the above,
3120,48461,48462,I am a developer by profession,Employed full-time,India,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,School,3,2,"Developer, mobile",2 to 9 employees,INR	Indian rupee,13500.0,Monthly,C;C++;HTML/CSS;Objective-C;Swift,Dart;PHP;Python,Firebase;SQLite,,,,,,,,,,Notepad++;Xcode,Visual Studio Code,MacOS,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow,Multiple times per day,Yes,A few times per month or weekly,"Yes, somewhat",No,18-24 years old,Woman,No,Straight / Heterosexual,Prefer not to say,None of the above,None of the above,2256.0
3123,48490,48491,I am a developer by profession,"Not employed, but looking for work",Russian Federation,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,School;Online Forum,12,,"Developer, back-end;DevOps specialist",,,,,C#;HTML/CSS;Java;JavaScript;Python;SQL,Java;Kotlin;Python,Microsoft SQL Server;MySQL;PostgreSQL,,,,ASP.NET;jQuery;Spring,,.NET Framework;NumPy,,Docker;Git;Kubernetes,Docker;Git;Kubernetes;Terraform,IntelliJ;Notepad++;PyCharm;Visual Studio;Visual Studio Code,IntelliJ;Notepad++;PyCharm;Visual Studio,Linux-based,Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later;Panic,Stack Overflow;Stack Exchange,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,18-24 years old,Woman,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,
3124,48494,48495,I am a developer by profession,Employed full-time,Germany,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Other (please specify):",13,5,"Developer, back-end",2 to 9 employees,EUR European Euro,2920.0,Monthly,C;C++;HTML/CSS;JavaScript;Node.js;Python;SQL;TypeScript,C;C++;JavaScript;Python;TypeScript,Firebase;MongoDB;PostgreSQL;SQLite,Firebase,AWS;Heroku;IBM Cloud or Watson;Microsoft Azure,Microsoft Azure,Express;Gatsby;React.js;Spring;Vue.js,Gatsby,React Native;TensorFlow,NumPy;React Native;TensorFlow,Docker;Git;Kubernetes,Deno;Git;Terraform;Unity 3D;Unreal Engine,Android Studio;IntelliJ;Sublime Text;Visual Studio Code,IntelliJ;Visual Studio Code,Windows,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Play games;Panic,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per month or weekly,Neutral,No,25-34 years old,Woman,No,Bisexual,Hispanic or Latino/a/x,None of the above,"I have a mood or emotional disorder (e.g. depression, bipolar disorder);I have an anxiety disorder",37872.0
3125,48501,48502,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,"Iran, Islamic Republic of...",,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification",6,2,"Developer, full-stack",100 to 499 employees,IRR	Iranian rial,,Monthly,C#;TypeScript,C#;Python;TypeScript,Microsoft SQL Server,Oracle;Redis,,,Angular.js;ASP.NET Core ,ASP.NET Core ;React.js,.NET Core / .NET 5,Flutter;React Native,,,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Windows,Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Play games,Stack Overflow,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,Neutral,No,25-34 years old,Woman,No,Straight / Heterosexual,Middle Eastern,None of the above,None of the above,
3126,48514,48515,I am a developer by profession,Employed part-time,India,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,School,6,6,"Developer, front-end",2 to 9 employees,INR	Indian rupee,,Monthly,C++,Kotlin,,,,,,,,,,,Notepad++;Visual Studio,Android Studio,MacOS,Visit Stack Overflow;Google it;Panic,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Daily or almost daily,"Yes, definitely",Yes,25-34 years old,Woman,No,Straight / Heterosexual,South Asian,None of the above,None of the above,
3127,48558,48559,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Thailand,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Friend or family member;Online Courses or Certification;Colleague;Books / Physical media",12,5,"Developer, front-end;Developer, full-stack;Developer, back-end",100 to 499 employees,THB	Thai baht,,,,,,,,,,,,,,,,,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies),A few times per month or weekly,Yes,A few times per week,"Yes, definitely",No,25-34 years old,Woman,,,,,,
3129,48588,48589,I am a developer by profession,Employed full-time,Romania,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",05 - 10 years,School;Colleague,7,4,"Developer, full-stack;Database administrator;Designer",100 to 499 employees,RON	Romanian leu,,Monthly,JavaScript;Node.js;PHP;SQL,Python,MySQL,,Microsoft Azure,,,,React Native,,Git,,Sublime Text;Visual Studio Code,,Linux-based,Call a coworker or friend;Visit Stack Overflow;Google it,Stack Overflow,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,Neutral,No,25-34 years old,Woman,No,Prefer not to say,White or of European descent,None of the above,None of the above,
3130,48597,48598,I am a developer by profession,Employed full-time,Bangladesh,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);School",8,4,"Developer, full-stack",100 to 499 employees,BDT	Bangladeshi taka,53000.0,Monthly,HTML/CSS;JavaScript;Python;SQL,JavaScript;Node.js;Python;SQL,MongoDB;PostgreSQL,Elasticsearch;MongoDB;PostgreSQL;Redis,AWS,AWS;DigitalOcean,React.js,Django;React.js,,,Git;Yarn,Docker;Git;Kubernetes,Visual Studio Code,Visual Studio Code,Linux-based,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Panic,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per month or weekly,"Yes, somewhat",Yes,25-34 years old,Woman,No,Straight / Heterosexual,South Asian,None of the above,"I have a concentration and/or memory disorder (e.g. ADHD);I have a mood or emotional disorder (e.g. depression, bipolar disorder);I have an anxiety disorder",7488.0
3131,48600,48601,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,France,,,Some college/university study without earning a degree,11 - 17 years,Books / Physical media,21,21,DevOps specialist,100 to 499 employees,EUR European Euro,41000.0,Yearly,Bash/Shell;Groovy;JavaScript;Node.js;Python,Python,,,AWS,AWS,Express;Vue.js,Vue.js,,,Ansible;Docker;Git;Terraform,Docker;Git;Terraform,PyCharm;Visual Studio Code,Visual Studio Code,Linux-based,Visit Stack Overflow;Google it;Do other work and come back later;Panic,Stack Overflow,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",No,35-44 years old,Woman,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,44320.0
3132,48605,48606,I am a developer by profession,Employed full-time,France,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18 - 24 years,School,14,5,"Developer, desktop or enterprise applications;Developer, back-end;Developer, QA or test","10,000 or more employees",EUR European Euro,,Monthly,C#;Java;Python,C#;Java;PowerShell;Python,MariaDB;MySQL,,,,,,.NET Framework;.NET Core / .NET 5,.NET Framework;.NET Core / .NET 5,,,PyCharm;Vim;Visual Studio Code,Vim;Visual Studio,Linux-based,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow,A few times per week,Yes,Less than once per month or monthly,"Yes, somewhat",No,25-34 years old,Woman,No,Straight / Heterosexual,White or of European descent,None of the above,I have an anxiety disorder,
3133,48634,48635,I am a developer by profession,Employed full-time,Germany,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Friend or family member;Colleague",11,7,"Developer, full-stack;Developer, QA or test;DevOps specialist;System administrator",10 to 19 employees,EUR European Euro,55000.0,Yearly,C#;HTML/CSS;JavaScript;Node.js;PowerShell;SQL;TypeScript,C#;HTML/CSS;SQL,Microsoft SQL Server;MySQL;PostgreSQL;Redis;SQLite,Microsoft SQL Server;MongoDB;PostgreSQL,Microsoft Azure,Microsoft Azure,Angular;ASP.NET Core ,Angular;ASP.NET Core ,.NET Core / .NET 5,.NET Core / .NET 5,,,Rider;Visual Studio;Visual Studio Code;Webstorm,Rider;Visual Studio Code;Webstorm,Windows,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Do other work and come back later,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,Neutral,Yes,25-34 years old,"Non-binary, genderqueer, or gender non-conforming",Yes,,White or of European descent,None of the above,None of the above,59454.0
3134,48643,48644,I am a developer by profession,Employed full-time,Czech Republic,,,"Other doctoral degree (Ph.D., Ed.D., etc.)",25 - 34 years,Coding Bootcamp;School;Friend or family member;Online Courses or Certification;Books / Physical media,8,6,"Data scientist or machine learning specialist;Developer, back-end;Data or business analyst","10,000 or more employees",CZK	Czech koruna,,,HTML/CSS;Java;JavaScript;Python;SQL,Python;R;SQL,Oracle,Oracle,,,Angular,,NumPy;Pandas,Apache Spark;Hadoop;Keras;NumPy;Pandas;TensorFlow;Torch/PyTorch,Git,Git,Eclipse;IntelliJ;NetBeans;PyCharm;Visual Studio Code,Eclipse;IntelliJ;PyCharm;Visual Studio Code,Windows,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos;Panic,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"Yes, somewhat",No,35-44 years old,Woman,No,Straight / Heterosexual,White or of European descent,None of the above,"I have a mood or emotional disorder (e.g. depression, bipolar disorder);I have an anxiety disorder",
3135,48653,48654,I am a developer by profession,Employed full-time,Sweden,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",05 - 10 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Books / Physical media",25,12,"Developer, embedded applications or devices",20 to 99 employees,SEK	Swedish krona,58500.0,Monthly,Bash/Shell;C;C#;HTML/CSS;JavaScript;Python,Bash/Shell;C;Python,SQLite,,,,,,.NET Framework,,Docker;Git,Ansible;Docker;Git,Atom;Eclipse;Notepad++;Vim;Visual Studio;Visual Studio Code,Notepad++;Vim,Linux-based,Go for a walk or other physical activity;Google it;Do other work and come back later;Other (please specify):,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"No, not really",No,35-44 years old,"Or, in your own words:",No,Prefer to self-describe:,"Or, in your own words:","Or, in your own words:",None of the above,71796.0
3137,48692,48693,I am a developer by profession,"Student, part-time",Kenya,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Online Forum;Friend or family member;Online Courses or Certification;Colleague;Books / Physical media",4,,,,,,,Dart;Go;HTML/CSS;JavaScript;Node.js;SQL;TypeScript,C#;Go;HTML/CSS;JavaScript;Node.js;SQL;TypeScript,Couchbase;MongoDB;MySQL;PostgreSQL,Couchbase;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL,Heroku;Microsoft Azure,AWS;Microsoft Azure,Express;jQuery;React.js,Express;React.js;Vue.js,Flutter,Flutter,Git;Yarn,Docker;Git;Yarn,Visual Studio Code,Visual Studio Code,Windows,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"Yes, definitely",No,18-24 years old,Woman,No,Straight / Heterosexual,Black or of African descent,None of the above,None of the above,
3138,48718,48719,I am a developer by profession,Employed full-time,India,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Books / Physical media",6,1,"Developer, full-stack",100 to 499 employees,INR	Indian rupee,,,Dart;Go;HTML/CSS;Java;JavaScript;Node.js;Python;Ruby;SQL;TypeScript,C;C#;C++;Go;HTML/CSS;JavaScript;Node.js;Python;SQL;TypeScript,Firebase;MongoDB;MySQL;PostgreSQL,Firebase;MongoDB;MySQL;PostgreSQL,AWS;Google Cloud Platform;Heroku,AWS;Google Cloud Platform;Heroku,Angular;Angular.js;Express;Flask;React.js;Ruby on Rails,Express;React.js,NumPy;Pandas;React Native,,Docker;Git;Kubernetes;Yarn,Docker;Git;Kubernetes;Yarn,Android Studio;Atom;Eclipse;IntelliJ;Notepad++;RubyMine;Sublime Text;Vim;Visual Studio Code;Webstorm,Sublime Text;Vim;Visual Studio Code;Webstorm,Linux-based,Visit Stack Overflow;Google it,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per week,"Yes, definitely",No,18-24 years old,Woman,No,Straight / Heterosexual,South Asian,None of the above,None of the above,
3139,48739,48740,I am a developer by profession,Employed full-time,Spain,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,School;Colleague,24,17,"Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end","1,000 to 4,999 employees",EUR European Euro,34000.0,Yearly,C#;C++,C#,MySQL,MongoDB;MySQL;Redis,Microsoft Azure,Microsoft Azure,ASP.NET;ASP.NET Core ,Angular;ASP.NET;ASP.NET Core ;FastAPI;React.js,.NET Framework;.NET Core / .NET 5,.NET Framework;.NET Core / .NET 5,Git,Docker;Git;Kubernetes,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Windows,Call a coworker or friend;Visit Stack Overflow;Google it;Panic,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",No,35-44 years old,Woman,No,Straight / Heterosexual,White or of European descent;Hispanic or Latino/a/x,None of the above,None of the above,36753.0
3140,48748,48749,I am a developer by profession,Employed full-time,India,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Books / Physical media",2,1,"Developer, full-stack",20 to 99 employees,AUD	Australian dollar,,Yearly,HTML/CSS;Java;JavaScript;Node.js;SQL,HTML/CSS;JavaScript;Node.js;SQL,MySQL;Redis,MySQL;Redis,DigitalOcean,DigitalOcean,Angular;Express,Angular;Express,React Native,React Native,,,Visual Studio Code,Visual Studio Code,Linux-based,Google it,Stack Overflow,Daily or almost daily,Yes,A few times per week,"Yes, somewhat",No,18-24 years old,Man;Woman,No,Prefer not to say,Prefer not to say,None of the above,None of the above,
3141,48771,48772,I am a developer by profession,Employed part-time,Netherlands,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,School;Colleague;Books / Physical media,19,17,"Developer, front-end",500 to 999 employees,EUR European Euro,3000.0,Monthly,C#;HTML/CSS;SQL;TypeScript;VBA,C#;HTML/CSS;TypeScript,Microsoft SQL Server;MySQL,Microsoft SQL Server;MySQL,Microsoft Azure,Microsoft Azure,Angular;ASP.NET Core ,Angular;ASP.NET Core ,,,Git,Git,Notepad++;Visual Studio,Notepad++;Visual Studio,Windows,Visit Stack Overflow;Google it;Panic,Stack Overflow,Daily or almost daily,Yes,Less than once per month or monthly,"No, not really",No,45-54 years old,Woman,No,Straight / Heterosexual,White or of European descent,None of the above,"I have a mood or emotional disorder (e.g. depression, bipolar disorder);I have an anxiety disorder",38916.0
3142,48781,48782,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Poland,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification",9,3,"Developer, front-end",500 to 999 employees,PLN	Polish zloty,13000.0,Monthly,HTML/CSS;JavaScript;Node.js;SQL;TypeScript,C#;HTML/CSS;JavaScript;Node.js;SQL;TypeScript,PostgreSQL,Firebase,AWS;Heroku,AWS,Angular,Angular;ASP.NET Core ;React.js;Vue.js,,,Git,Deno;Git,Visual Studio Code;Webstorm,Visual Studio Code;Webstorm,MacOS,Call a coworker or friend;Visit Stack Overflow;Google it,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per month or weekly,"Yes, somewhat",No,18-24 years old,"Man;Or, in your own words:","Or, in your own words:",Prefer to self-describe:,"White or of European descent;Or, in your own words:",None of the above,,39492.0
3143,48782,48783,I am a student who is learning to code,"Student, full-time",India,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,Online Forum;Online Courses or Certification;Books / Physical media,2,,,,,,,Bash/Shell;C++;HTML/CSS;Python;SQL,Dart;Go,MySQL;PostgreSQL;SQLite,,AWS;DigitalOcean;Microsoft Azure,,Django,Django;Flask,NumPy;Pandas;Torch/PyTorch,Flutter,,,Android Studio;Atom;Eclipse;IPython/Jupyter;NetBeans;Notepad++;PyCharm;Sublime Text;Visual Studio;Visual Studio Code,,Linux-based,Google it,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,Neutral,Yes,18-24 years old,Woman,No,,South Asian,None of the above,"I have a mood or emotional disorder (e.g. depression, bipolar disorder);I have an anxiety disorder",
3145,48803,48804,"I used to be a developer by profession, but no longer am",Employed full-time,Romania,,,Some college/university study without earning a degree,11 - 17 years,School,18,5,Other (please specify):;Product manager,,,,,C#;HTML/CSS;Java;JavaScript,,,,,,Angular;Angular.js;ASP.NET;ASP.NET Core ;jQuery,,.NET Framework,,,,Notepad++;Visual Studio;Visual Studio Code,Notepad++,Windows,Visit Stack Overflow;Google it,Stack Overflow;Stack Exchange,Less than once per month or monthly,Yes,Less than once per month or monthly,"Yes, somewhat",No,25-34 years old,Woman,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,
3146,48810,48811,I code primarily as a hobby,"Student, full-time",Norway,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Friend or family member",Less than 1 year,,,,,,,C#;C++;PowerShell;Python,C;C#;C++;HTML/CSS;Java;PHP;Python;TypeScript,,,Heroku,,,,NumPy,NumPy,Docker;Git,Docker;Git;Unity 3D;Unreal Engine,Atom;Notepad++;Sublime Text;Vim;Visual Studio Code,Notepad++;Vim;Visual Studio;Visual Studio Code,Linux-based,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later;Play games;Panic,Stack Overflow,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,"Yes, somewhat",Yes,18-24 years old,"Woman;Non-binary, genderqueer, or gender non-conforming",Yes,Gay or Lesbian,White or of European descent,I am deaf / hard of hearing,"I have a concentration and/or memory disorder (e.g. ADHD);I have a mood or emotional disorder (e.g. depression, bipolar disorder)",
3147,48812,48813,I am a developer by profession,Employed full-time,Italy,,,Some college/university study without earning a degree,11 - 17 years,School;Books / Physical media,10,6,"Developer, full-stack",10 to 19 employees,EUR European Euro,30000.0,Yearly,HTML/CSS;JavaScript;PHP;SQL,Bash/Shell;HTML/CSS;JavaScript;PHP;Python;SQL,MariaDB;MySQL;Oracle;PostgreSQL,MariaDB;MySQL;Oracle;PostgreSQL,,,Django;Flask;jQuery;Laravel;React.js,Django;Flask;jQuery;Laravel;React.js,,,Git,Docker;Git,Notepad++;PHPStorm;PyCharm;Sublime Text;Visual Studio Code,Notepad++;PHPStorm;PyCharm;Sublime Text;Visual Studio Code,Windows,Call a coworker or friend;Visit Stack Overflow;Google it;Do other work and come back later;Meditate;Other (please specify):,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Daily or almost daily,"Yes, definitely",No,35-44 years old,"Non-binary, genderqueer, or gender non-conforming",No,Bisexual,White or of European descent,None of the above,None of the above,32429.0
3148,48818,48819,I am a developer by profession,Employed full-time,Denmark,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School",11,5,"Developer, front-end;Developer, full-stack;Data scientist or machine learning specialist;Developer, back-end",2 to 9 employees,DKK	Danish krone,15000.0,Monthly,HTML/CSS;JavaScript;Node.js;Python;TypeScript,JavaScript;Python;TypeScript,Firebase;MongoDB,MongoDB;PostgreSQL,Google Cloud Platform,Google Cloud Platform,Express;FastAPI;Gatsby;React.js,Express;FastAPI;React.js,NumPy;Pandas;TensorFlow;Torch/PyTorch,NumPy;Pandas;TensorFlow,Docker;Git;Unity 3D,Docker;Git,Visual Studio Code,Visual Studio Code,Windows,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per month or weekly,"Yes, somewhat",No,25-34 years old,"Man;Non-binary, genderqueer, or gender non-conforming",No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,26052.0
3149,48825,48826,I am a developer by profession,Employed full-time,Germany,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25 - 34 years,Coding Bootcamp,3,2,"Developer, full-stack",500 to 999 employees,EUR European Euro,56400.0,Yearly,JavaScript;Node.js;Ruby,JavaScript;Node.js;Ruby,DynamoDB,DynamoDB,AWS,AWS,Ruby on Rails,React.js;Ruby on Rails,,,Git;Terraform,Git;Terraform,Atom;Visual Studio Code,Visual Studio Code,MacOS,Visit Stack Overflow;Go for a walk or other physical activity;Google it,Stack Overflow;Stack Exchange,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,"No, not at all",No,25-34 years old,Woman,No,Bisexual,"Or, in your own words:",None of the above,None of the above,60967.0
